"序号","tagCode","nfcSn","token","scheme"
"1","TAG_SAQX4QLE8XCEMLQJ","TAG_SAQX4QLE8XCEMLQJ","SAQX4QLE8XCEMLQJ","weixin://dl/business/?t=yMVofNDQY5i"
"2","TAG_LLCGNRU9KFVJCSV4","TAG_LLCGNRU9KFVJCSV4","LLCGNRU9KFVJCSV4","weixin://dl/business/?t=6vhSzWhmczi"
"3","TAG_NDKCQNNPNCNWF78R","TAG_NDKCQNNPNCNWF78R","NDKCQNNPNCNWF78R","weixin://dl/business/?t=NZU4m63kWBr"
"4","TAG_QPLASNTRB6XNCPB6","TAG_QPLASNTRB6XNCPB6","QPLASNTRB6XNCPB6","weixin://dl/business/?t=iwlsrlPFX5r"
"5","TAG_34UEHDU36ASAB77Z","TAG_34UEHDU36ASAB77Z","34UEHDU36ASAB77Z","weixin://dl/business/?t=m4W7jCWfDHf"
"6","TAG_ZN6R64JNDE8EXBVM","TAG_ZN6R64JNDE8EXBVM","ZN6R64JNDE8EXBVM","weixin://dl/business/?t=XAOzw0ooUfj"
"7","TAG_PSM8WFQ5VSV4J3SP","TAG_PSM8WFQ5VSV4J3SP","PSM8WFQ5VSV4J3SP","weixin://dl/business/?t=qLWNBrMN81g"
"8","TAG_UWMKXW5VDU3FQW6Z","TAG_UWMKXW5VDU3FQW6Z","UWMKXW5VDU3FQW6Z","weixin://dl/business/?t=tjtYuKkBHad"
"9","TAG_QPY85R7AWRZU6YC5","TAG_QPY85R7AWRZU6YC5","QPY85R7AWRZU6YC5","weixin://dl/business/?t=XBicf4rtBrg"
"10","TAG_RHBQC2PS9UYGNJMC","TAG_RHBQC2PS9UYGNJMC","RHBQC2PS9UYGNJMC","weixin://dl/business/?t=nI7IXSoEtSr"
"11","TAG_GJXZQGR4C4BYEW95","TAG_GJXZQGR4C4BYEW95","GJXZQGR4C4BYEW95","weixin://dl/business/?t=e5xe5guhUxt"
"12","TAG_Y4LZL39TMKXBMQ4Y","TAG_Y4LZL39TMKXBMQ4Y","Y4LZL39TMKXBMQ4Y","weixin://dl/business/?t=1uvrLKrSQZm"
"13","TAG_YUEUBSAWWGTEDHZF","TAG_YUEUBSAWWGTEDHZF","YUEUBSAWWGTEDHZF","weixin://dl/business/?t=sbIYCKy5C6h"
"14","TAG_TBPEX5DWFC3UCDEE","TAG_TBPEX5DWFC3UCDEE","TBPEX5DWFC3UCDEE","weixin://dl/business/?t=qly71y5NIfu"
"15","TAG_ZN9BJTVXZ2K9YBPQ","TAG_ZN9BJTVXZ2K9YBPQ","ZN9BJTVXZ2K9YBPQ","weixin://dl/business/?t=WCuiINLxHlb"
"16","TAG_NYX4SSDJ2B6EFD7P","TAG_NYX4SSDJ2B6EFD7P","NYX4SSDJ2B6EFD7P","weixin://dl/business/?t=1niD2hSFC0t"
"17","TAG_G24V6Q79PUWAACCG","TAG_G24V6Q79PUWAACCG","G24V6Q79PUWAACCG","weixin://dl/business/?t=TD9fO5N8m2t"
"18","TAG_ACCHPAFJ5DBUDMS7","TAG_ACCHPAFJ5DBUDMS7","ACCHPAFJ5DBUDMS7","weixin://dl/business/?t=1O0PxJ7LGss"
"19","TAG_SU9VPPHZRJPCLT8F","TAG_SU9VPPHZRJPCLT8F","SU9VPPHZRJPCLT8F","weixin://dl/business/?t=x9Ar7DFU3os"
"20","TAG_8GZYTRYVXAHX9YDJ","TAG_8GZYTRYVXAHX9YDJ","8GZYTRYVXAHX9YDJ","weixin://dl/business/?t=0TDMcmtjYle"
